,Aaron Davis (Prowler0,Ganke Lee,George Stacy,Green Goblin,Gwen Stacy,Jefferson Morales,Mary Jane Parker (Earth-1610B),Mary Jane Parker (Earth-616B),May Parker,Miles Morales,Olivia Octavius,Peni Parker,Peter B. Parker,Peter Parker,Peter Parker Noir,Peter Porker,Radioactive Spider (Earth-42),Richard Fisk,Rio Morales,Scorpion,Stan,Tombstone,Vanessa Fisk,Wilson Fisk
Aaron Davis (Prowler),,0,0,0,1,1,0,0,1,9,1,1,1,0,1,1,0,0,0,1,0,1,0,3
Ganke Lee,,,0,0,0,0,0,0,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0
George Stacy,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Goblin,,,,,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Gwen Stacy,,,,,,0,0,0,2,13,4,4,6,0,4,4,0,0,0,1,0,1,0,0
Jefferson Morales,,,,,,,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mary Jane Parker (Earth-1610B),,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mary Jane Parker (Earth-616B),,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
May Parker,,,,,,,,,,2,1,2,2,0,2,2,0,0,0,1,0,0,0,0
Miles Morales,,,,,,,,,,10,5,6,17,4,6,6,2,0,4,1,1,2,0,3
Olivia Octavius,,,,,,,,,,,,1,5,0,1,1,0,0,0,1,0,3,0,3
Peni Parker,,,,,,,,,,,,,4,0,4,4,0,0,0,2,0,1,0,0
Peter B. Parker,,,,,,,,,,,,,,0,4,4,0,0,0,1,0,1,0,2
Peter Parker,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4
Peter Parker Noir,,,,,,,,,,,,,,,,5,0,0,0,1,0,2,0,0
Peter Porker,,,,,,,,,,,,,,,,,0,0,0,2,0,1,0,0
Radioactive Spider (Earth-42),,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Richard Fisk,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2
Rio Morales,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Scorpion,,,,,,,,,,,,,,,,,,,,,0,1,0,0
Stan,,,,,,,,,,,,,,,,,,,,,,0,0,0
Tombstone,,,,,,,,,,,,,,,,,,,,,,,0,3
Vanessa Fisk,,,,,,,,,,,,,,,,,,,,,,,,2
Wilson Fisk,,,,,,,,,,,,,,,,,,,,,,,,
